candidate_id,title,venue_name,output_type,publication_year,impact_factor,author_names,research_topics/0,research_topics/1,research_topics/2
32,Comparison of Cold-Cup Biopsy Versus Resection Biopsy in the Early Detection of Detrusor Muscle Invasion in the Case of Bladder Tumor,Cureus,Journal,2025,1.3,"Saifullah Khan, Faiza Hayat, Sania Gul, Qudratullah Wazir",,,
32,STEM: spatial speech separation using twin-delayed DDPG reinforcement learning and expectation maximization,Journal,Journal,2025,3.4,"Muhammad Salman Khan, Sania Gul",,,
33,Optimal Siting of Phasor Measurement Units in National Transmission Network of Pakistan to Ensure Complete System Observability,IEEE 23rd International Multitopic,Conference,2020,0,"Muhammad Musadiq Ahmed, Atif Naveed Khan, Muhammad Nadeem, Kashif Imran",,,
33,An Optimal PMU Placement Against N-1 Contingency of PMU Using Integer Linear Programming Approach,International Conference on Applied,Conference,2019,0,"Muhammad Musadiq Ahmed, Kashif Imran",,,
33,Effect Of PV System Design And Financial Variables On Systems Perfomance And Financial Feasibility,International Conference on Energy,Conference,2023,0,"Muhammad Musadiq Ahmed, Abdul Shahzad Younis, Kashif Janjua, Muhammad Zaid Masood Khan",,,
33,Optimising PMU Placement using Integer Linear Programming for Complete Network Observability with Zero Injection Bus and N-1 Contingency,International Conference on Energy,Conference,2023,0,"Muhammad Musadiq Ahmed, Muhammad Amjad, Muhammad Ali Qureshi",,,
33,A Critical Review of State-of-the-Art Optimal PMU Placement Techniques,Energies,Journal,2022,3.25,"Muhammad Musadiq Ahmed, Muhammad Amjad, Muhammad Ali Qureshi, Kashif Imran, Zunaib Maqsood Haider, Muhammad Omer Khan",,,
33,Optimal PMU Placement to Enhance Observability in Transmission Networks Using ILP and Degree of Centrality,Energies,Journal,2024,3.25,"Muhammad Musadiq Ahmed, Muhammad Amjad, Muhammad Ali Qureshi, Omer Khan, Zunaib Maqsood Haider",,,
33,Novel Multi-Stage Phasor Measurement Unit Placement on Critical Buses with Observability Assessment,Energies,Journal,2025,3.25,"Muhammad Musadiq Ahmed, Muhammad Amjad, Muhammad Ali Qureshi, Omer Khan, Zunaib Maqsood Haider",,,
34,Polarization Reversal Characteristics of Ferroelectric-Schottky Diode Hybrid Structure,Journal,Journal,2020,1.3,"Muhammad Saqib, Shenawar Ali Khan, Sheik Abdur Rahman, Woo Young Kim",,,
34,Temperature-sensing behavior of poly (vinylidene fluoride-trifluoroethylene) film,Journal,Journal,2020,0.6,"Shenawar Ali Khan, Woo Young Kim, Muhammad Saqib",,,
34,High-performance humidity sensor based on the graphene flower/zinc oxide composite,Journal,Journal,2021,5,"Muhammad Saqib, Shenawar Ali Khan, Hafiz Mohammad Mutee Ur Rehman, Yunsook Yang, Seongwan Kim, Muhammad Muqeet Rehman, Woo Young Kim",,,
34,Highly efficient and wide range humidity response of biocompatible egg white thin film,Journal,Journal,2021,5,"Hafiz Mohammad Mutee Ur Rehman, Muhammad Muqeet Rehman, Muhammad Saqib, Shenawar Ali Khan, Maryam Khan, Yunsook Yang, Seongwan Kim, Sheik Abdur Rahman, Woo-Young Kim",,,
34,A full-range flexible and printed humidity sensor based on a solution-processed p (Vdf-trfe)/graphene-flower composite,Journal,Journal,2021,5,"Shenawar Ali Khan, Muhammad Saqib, Muhammad Muqeet Rehman, Hafiz Mohammad Mutee Ur Rehman, Sheik Abdur Rahman, Yunsook Yang, Seongwan Kim, Woo-Young Kim",,,
34,Polarization Reversal Characteristics in Capacitors with a Metal/Insulator/Ferroelectric/Metal Structure,Journal,Journal,2021,1.3,"Muhammad Saqib, Sheik Abdur Rahman, Shenawar Ali Khan, Hafiz Mohammad Mutee Ur Rehman, Woo Young Kim",,,
34,All-Printed Flexible Memristor with Metalâ€“Non-Metal-Doped TiO2 Nanoparticle Thin Films,Journal,Journal,2022,5,"Maryam Khan, Hafiz Mohammad Mutee Ur Rehman, Rida Tehreem, Muhammad Saqib, Muhammad Muqeet Rehman, Woo-Young Kim",,,
34,Characterization and performance evaluation of fully biocompatible gelatin-based humidity sensor for health and environmental monitoring,Journal,Journal,2023,2.6,"Maryam Khan, Muhammad Muqeet Rehman, Shenawar Ali Khan, Muhammad Saqib, Woo Young Kim",,,
34,"Wide-Range, Fast-Responsive Humidity Sensor Based on In2Se3/PEDOT:PSS Nanocomposite",Journal,Journal,2023,4.4,"Shenawar Ali Khan, Muhammad Saqib, Maryam Khan, Muhammad Muqeet Rehman, Sheik Abdur Rahman, Woo Young Kim",,,
34,Self-powered humidity sensor driven by triboelectric nanogenerator composed of bio-wasted peanut skin powder,Journal,Journal,2024,5,"Muhammad Saqib, Shenawar Ali Khan, Maryam Khan, Shahzad Iqbal, Muhammad Muqeet Rehman, Woo Young Kim",,,
34,"Hierarchically structured porous natural dielectric layer for sustainable pressure sensing, gesture monitoring, and detecting spatial pressure distribution",Journal,Journal,2024,6.7,"Shenawar Ali Khan, Shahzad Iqbal, Sheik Abdur Rahman, Muhammad Saqib, Muhammad Muqeet Rehman, Woo Young Kim",,,
34,"High performance triboelectric nanogenerator based on purified chitin nanopaper for the applications of self-powered humidity sensing, gait monitoring, and hyperhidrosis sensor",Journal,Journal,2024,8.7,"Shenawar Ali Khan, Muhammad Muqeet Rehman, Shahid Ameen, Muhammad Saqib, Maryam Khan, Woo Young Kim",,,
34,"DFT investigation of structural, electronic, optical, mechanical, and thermoelectric properties of halide perovskites XZnCl3(X = Ag, Au, Cu)",Journal,Journal,2025,2.8,"Abdul Shakoor, Bakhtiar ul Haq, Sikander Azam, Fakhra Ghafoor, Muhammad Saqib, Muhammad Waqas, H.W. Seo, Muhammad Jawad",,,
34,High Performance Triboelectric Nanogenerator Based on Metalâ€“Organic Framework Composites for IoT-Assisted Wireless Healthcare Monitoring,Journal,Journal,2025,13,"Shahzad Iqbal, Muhammad Muqeet Rehman, Zahir Abbas, Syed Adil Sardar, Muhammad Saqib, Yunsook Yang, and Woo Young Kim",,,
34,A Sustainable and Flexible Carbon Paper-Based Multifunctional Humanâ€“Machine Interface (HMI) Sensor,Journal,Journal,2025,4.7,"Muhammad Muqeet Rehman, Maryam Khan, Hafiz Mohammad Mutee ur Rehman, Muhammad Saqib, Shahzad Iqbal, Sang Seop Lim, Kun Hyun Park, Woo Young Kim",,,
34,2D materials-memristive devices nexus: From status quo to Impending applications,Journal,Journal,2025,33.6,"Muhammad Muqeet Rehman, Yarjan Abdul Samad, Jahan Zeb Gul, Muhammad Saqib, Maryam Khan, Rayyan Ali Shaukat, Rui Chang, Yijun Shi, Woo Young Kim",,,
34,"Adaptable self-powered humidity sensor based on a highly permeable, hierarchically fibrous, and chaotically textured sustainable biowaste",Journal,Journal,2025,8.7,"Muhammad Saqib, Muhammad Muqeet Rehman, Maryam Khan, Shahzad Iqbal, Ahmed Usman Ali, Ghayas Uddin Siddiqui, Woo Young Kim",,,
35,Design and Evaluation of PM Vernier Machine for Urban Air Mobility Propulsion Applications,IEEE Canadian Journal of Electrical,Journal,2025,1.9,"Abdur Rehman, Jungmoon Kang, Gilsu Choi",,,
35,Centralized Intelligent Home Energy Management System,International Renewable and Sustainable Energy Conference,Conference,2018,,"Abdur Rehman, Faisal Baig, Yousaf Hameed Khattak, Bernabe Mari, Anzar Mahmood",,,
36,A CMOS readout circuit for a low shunt resistance IR photo-detector,IEEE International Conference on El,Conference,2023,1.4,Saman Fatima; Emilie Avignon Meseldzija; Caroline Lelandais-Perrault; Mohamed Ben Chouikha; Philippe BÃ©nabÃ¨s,,,
37,Comparative Analysis of Urdu Parts Of Speech Taggers using Machine Learning Techniques,International Multitopic Conference,Conference,2020,0,"Muhammad Aqeel, Fawwad Hassan Jaskani, Hafsa Shaikh, Faheem Khuhawar, Muhammad Talha Amin, Muhammad Adeel Azam",,,
37,Facial Emotion Recognition using Deep Learning (FERDL),International Multitopic Conference,Conference,2023,0,"Muhammad Aqeel, Hafiz Arslan Ramzan, Ahmed Sohaib, Sadia Ramzan, Tehmina Kalsum",,,
37,Analysis of the MIDAS and OASIS biomedical databases for the application of multimodal image processing,Intelligent Technologies and Applic,Journal,2020,0,"Muhammad Aqeel, Muhammad Adeel Azam, Khan Bahadar Khan, Muhammad Aqeel, Abdul Rehman Chishti, Muhammad Nawaz Abbasi",,,
37,Brain tumor localization and segmentation based on Pixel-Based thresholding with morphological operation,Intelligent Technologies and Applic,Journal,2020,0,"Muhammad Aqeel, Muhammad Yousuf, Khan Bahadar Khan, Muhammad Adeel Azam",,,
37,Detection of Anomaly in Videos Using Convolutional Autoencoder and Generative Adversarial Network model,International Multitopic Conference,Conference,2005,0,"Muhammad Aqeel, Khan Bahadar Khan, Muhammad Adeel Azam, Muhammad Hamza Ghouri, Fawwad Hassan Jaskani",,,
37,Lungs nodule cancer detection using statistical techniques,international multitopic conference,Conference,2020,0,"Muhammad Aqeel, Waseem Abbas, Khan Bahadar Khan, Muhammad Adeel Azam, Muhammad Hamza Ghouri, Fawwad Hassan Jaskani",,,
37,Real-Time Apple Disease Detection and Classification Using Hybrid CNN Model,International Journal of Advanced N,Journal,2024,0,"Muhammad Aqeel, Abdul Rafay, Muhammad Iqbal, Ahmed Sohaib, Badarul Islam Ahmed Zaheer",,,
37,Web-Based method to connect organizations and IT people using iterative model,International Journal of Informatio,Journal,2023,0.65,"Muhammad Aqeel, Muhammad Imtiaz, Muhammad Sikander Shahbaz",,,
37,Real-Time Health Monitoring Smart System for Cardiac Patients using Internet of Things (IoT),International Journal of Electrical,Journal,2023,0.8,"Muhammad Aqeel, Hammad Shahab, Hussain Mahmood Sargana, Muhammad Sikander Shahbaz, Muhammad Kamran, Irfan Ullah, Faizan Qaisar",,,
37,Intelligent Smart Energy Meter Reading System Using Global System for Mobile Communication,International Journal of Intelligen,Journal,2023,0.7,"Muhammad Aqeel, Hammad Shahab, Muhammad Naeem, Muhammad Sikander Shahbaz, Faizan Qaisar, Muhammad Ali Shahzad",,,
37,Recent trends in cloud computing and IoT platforms for it management and development: a review,Pakistan Journal of Engineering and,Journal,2023,0,"Muhammad Aqeel, Faizan Qaisar, Hammad Shahab, Muhammad Iqbal, Hussain Mahmood Sargana, Muhammad Arslan Qayyum",,,
37,IoT-Driven Smart Agricultural Technology for Real-Time Soil and Crop Optimization,Smart Agricultural Technology,Journal,2025,6.3,"Muhammad Aqeel, Hammad Shahab, Muhammad Naeem, Muhammad Iqbal, Syed Sajid Ullah",,,
37,Milk adulteration identification using hyperspectral imaging and machine learning,Journal of Dairy Science,Journal,2025,3.7,"Muhammad Aqeel, Ahmed Sohaib, Muhammad Iqbal, Syed Sajid Ullah",,,
37,Hyperspectral Identification of Milk Adulteration using Advance Deep Learning,IEEE Access,Journal,2024,3.4,"Muhammad Aqeel, Ahmed Sohaib, Muhammad Iqbal, Syed Sajid Ullahd",,,
37,Hyperspectral identification of oil adulteration using machine learning techniques,Journal: Current Research in Food S,Journal,2024,6.3,"Muhammad Aqeel, Ahmad Sohaib, Muhammad Iqbal, Hafeez Ur Rehman, Furqan Rustam",,,
39,A Novel Bistatic-SAR Simulation-Based On Fixed Receiver,2020 IEEE International Multit,Conference,2020,2.2,Abdul Wahab; Kashif Hussain; Haroon Ahmed; Tahir Bashir; Kamil Jalal; Zeeshan Hameed,,,
39,Multi-Factor Trust Management in Distributed Storage Networks based on Capacity and Behavior,2024 9th International Conference,Conference,2024,2.2,Ibe Van Thillo; Zeeshan Hameed; Claus Pahl,,,
39,Motion Synchronization Control for a Large Civil Aircraftâ€™s Hybrid Actuation System Using Fuzzy Logic-Based Control Techniques,Mathematics,Journal,2023,2.2,"Waheed Ur Rehman, Xingjian Wang, Zeeshan Hameed, Muhammad Yasir Gul",,,
39,Motion synchronization for the SHA/EMA hybrid actuation system by using an optimization algorithm,"Journal for Control, Measurement",Journal,2021,1.7,"Waheed Ur Rehman, Xinhua Wang, Yiqi Cheng, Hui Chai, Zeeshan Hameed, Xingjian Wang, Farrukh Saleem",,,
39,Hierarchical Boosting Dual-Stage Feature Reduction Ensemble Model for Parkinsonâ€™s Disease Speech Data,Diagnostics,Journal,2021,3.3,"Mingyao Yang, Jie Ma, Pin Wang, Zhiyong Huang, Yongming Li, He Liu, Zeeshan Hameed",,,
39,Weighted Hybrid Feature Reduction Embedded with Ensemble Learning for Speech Data of Parkinsonâ€™s Disease,Mathematics,Journal,2021,2.2,"Zeeshan Hameed, Waheed Ur Rehman, Wakeel Khan, Nasim Ullah, Fahad R. Albogamy",,,
39,Robust-DSN - Performance and Fault Tolerance of a Distributed Storage Network,Eighth International Conference,Conference,2023,2.3,Zeeshan Hameed; Hamid R. Barzegar; Nabil El Ioini; Claus Pahl,,,
39,Robust-DSN: A Hybrid Distributed Replication and Encoding Network Grouped with a Distributed Swarm Workflow Scheduler,Electronincs,Journal,2024,2.6,"Zeeshan Hameed, Hamid R. Barzegar, Nabil El Ioini, Claus Pahl",,,
39,BE-DSN: leveraging blockchain for improving data availability and security in distributed storage networks,Cluster Computing Journal,Journal,2025,4.1,"Zeeshan Hameed, Hamid R. Barzegar, Nabil El Ioini & Claus Pahl",,,
39,A secure and reliable distributed storage system with multi-factor trust-aware workflow scheduling,Cluster Computing,Journal,2025,4.1,"Zeeshan Hameed, Claus Pahl, Mohammad Hajian Berenjestanaki & Ibe Van Thillo",,,
40,Dual-Core: Dual Collision Resolution for Massive Access in Cellular IoT Networks,IEEE Transactions on Communications,Journal,2025,8.3,"Huiyang Xie, Waqas Tariq Toor, Jun-Bae Seo, Hu Jin",,,
42,Physical layer security for wireless sensing and joint radar and communications,Physical Layer Security for Wireles,Journal,2024,0,"S. Rafique, Ahmed Naeem, H. Arslan",,,
42,Domain physical modification for PLS,Physical Layer Security for Wireles,Journal,2024,0,"S.E. Zegrar, Ahmed Naeem, H.M. Furqan, H. Arslan",,,
42,Blind Signal Analysisâ€”Wireless Communication Signals: A L,Wireless Communication Signals,Journal,2021,0,"Mehmet Ali Aygul, Ahmed Naeem, Huseyin Arslan",,,
42,Fall Detection using Accelerometer Calibration,15th International Conference on Em,Conference,2019,0,"Ahmed Naeem, S. Khan",,,
42,Joint Radar and Communication based Blind Signal Separation using a New Non-Linear Function for Fast-ICA,2021 IEEE 94th Vehicular Technology,Conference,2021,0,"Ahmed Naeem, H. Arslan",,,
42,A Novel Frame Design for Non-Terrestrial Network Based Integrated Sensing and Communication,IEEE 33rd Annual International Symp,Conference,2022,0,"Ahmed Naeem, S. Rafique, H. Arslan",,,
42,Radar-Aided Communication Scheduling Algorithm for 5G and Beyond Networks,IEEE Access,Journal,2022,3.6,"A. M. Jaradat, Ahmed Naeem, M. I. SaÄŸlam, M. Kartal, H. Arslan",,,
42,Joint Adaptive OFDM and Reinforcement Learning Design for Autonomous Vehicles: Leveraging Age of Updates,IEEE Open Journal of Vehicular Tech,Journal,2025,4.8,"M. Delamou, Ahmed Naeem, H. Arslan, E. M. Amhoud",,,
42,Polarization-Based Multiplexing: Enabling Spectrum Efficient Joint Radar and Communication,IEEE Wireless Communications Letter,Journal,2024,5.5,"Ahmed Naeem, Mamady Delamou, El Mehdi Amhoud, HÃ¼seyin Arslan",,,
42,A Novel User Association Scheme for Joint Radar and Communication in Cell-Free mMIMO Systems,IEEE Transactions on Vehicular Tech,Journal,2025,7.1,"Ahmed Naeem, E. M. Amhoud, H. Arslan",,,
42,A Temporal Broadening-Aware Pulse Width Adaptation Scheme for ISI Mitigation and Energy Efficiency in THz Communication,IEEE Transactions on Green Communic,Journal,2025,6.7,"Ahmed Naeem, S. Rafique, Abu B. Kihero, H. Arslan",,,
43,A Multimodal Framework for MODT Using Enhanced Correlation-Based Affinity Metrics in Autonomous Driving,The 7th International Conference on Artificial Intelligence in Information and Communication,Conference,2025,1,"MUHAMMAD ADEEL ALTAF, Min Young Kim",,,
43,Multi-Modal Integration of 2D and 3D Attributes for Multi-Vehicles Tracking,15th International Conference on In Vehicles Tracking,Conference,2024,1,"MUHAMMAD ADEEL ALTAF, Min Young Kim",,,
43,Gaussian Mixture Model-based Data Association Incorporating Deep Learning Network for Multivehicle Tracking and Detection in Autonomous Driving Systems,Advanced Intelligent Systems,Journal,2025,6.1,"MUHAMMAD ADEEL ALTAF, Min Young Kim",,,
43,"Usage of IR Sensors in HVAC Systems, Vehicles, and Manufacturing Industries: A Review",IEEE Sensors Journal,Journal,2022,5.13,"MUHAMMAD ADEEL ALTAF, Min Young Kim",,,
43,Multiple Object Detection and Tracking in Autonomous Vehicles: A Survey on Enhanced Affinity Computation and Its Multimodal Applications,ICT Express,Journal,2025,4.2,"MUHAMMAD ADEEL ALTAF, Min Young Kim",,,
